T1,T2,T3,T4
99.7407,43.0,961.2,26.3
101.6285,43.0,961.2,26.3
100.8506,43.0,961.2,26.3
99.7839,43.0,961.2,26.3
100.8822,43.0,961.2,26.3
100.5167,44.0,961.2,25.7
98.8482,44.0,961.2,25.7
98.4865,44.0,961.2,25.7
98.3293,44.0,961.2,25.7
98.3048,44.0,961.2,25.7
99.6659,44.0,961.2,25.7
100.4403,44.0,961.2,25.7
101.2792,44.0,961.2,25.7
102.9341,44.0,961.2,25.7
101.3368,44.0,961.2,25.7
100.8778,46.0,961.1,25.2
99.23669,46.0,961.1,25.2
98.4488,46.0,961.1,25.2
97.80109,46.0,961.1,25.2
97.1874,46.0,961.1,25.2
98.2187,46.0,961.1,25.2
101.7022,46.0,961.1,25.2
102.8613,46.0,961.1,25.2
101.7399,46.0,961.1,25.2
101.0714,46.0,961.1,25.2
101.1431,47.0,961.1,24.8
103.5762,47.0,961.1,24.8
102.5144,47.0,961.1,24.8
102.9652,47.0,961.1,24.8
104.0268,47.0,961.1,24.8
104.7833,47.0,961.1,24.8
106.4762,47.0,961.1,24.8
104.6114,47.0,961.1,24.8
105.9957,47.0,961.1,24.8
104.6986,47.0,961.1,24.8
105.9658,49.0,961.1,24.2
107.9514,49.0,961.1,24.2
106.1662,49.0,961.1,24.2
107.2366,49.0,961.1,24.2
103.9741,49.0,961.1,24.2
103.1432,49.0,961.1,24.2
101.4515,49.0,961.1,24.2
101.4307,49.0,961.1,24.2
100.556,49.0,961.1,24.2
101.1211,49.0,961.1,24.2
101.5354,49.0,961.1,24.0
101.7768,49.0,961.1,24.0
99.5203,49.0,961.1,24.0
100.2319,49.0,961.1,24.0
101.3921,49.0,961.1,24.0
102.0687,49.0,961.1,24.0
100.9187,49.0,961.1,24.0
100.8388,49.0,961.1,24.0
100.5168,49.0,961.1,24.0
100.6548,49.0,961.1,24.0
101.4891,50.0,961.2,23.7
100.8038,50.0,961.2,23.7
102.1114,50.0,961.2,23.7
102.0072,50.0,961.2,23.7
100.8363,50.0,961.2,23.7
102.4155,50.0,961.2,23.7
102.7438,50.0,961.2,23.7
102.8652,50.0,961.2,23.7
103.4553,50.0,961.2,23.7
105.6171,50.0,961.2,23.7
103.8452,51.0,961.1,23.3
103.5794,51.0,961.1,23.3
